question,regulation,breadcrumb,multi_regulation
Comment le règlement encadre‑t‑il la prévention des opérations d’initiés et des manipulations de marché sur les plateformes de crypto‑actifs ?,MiCA,MiCA > Titre 1 > Article 1,False
Quelles exigences de gouvernance et d’organisation sont imposées aux émetteurs de jetons de monnaie électronique ?,MiCA,MiCA > Titre 1 > Article 1,False
Quels sont les nouveaux exigences imposées aux contreparties centrales en matière de continuité des activités et de plan de rétablissement après sinistre ?,DORA,DORA > Chapitre 9 > Article 60,False
Est‑ce que le paragraphe 6 de l’article 26 a été supprimé et quelles en sont les conséquences pour les CCP ?,DORA,DORA > Chapitre 9 > Article 60,False
Comment les systèmes de TIC doivent‑ils être gérés par les contreparties centrales selon le règlement 2022/2554 ?,DORA,DORA > Chapitre 9 > Article 60,False
Quelle est la responsabilité de l’AEMF concernant l’élaboration de normes techniques de réglementation pour la politique de continuité des activités ?,DORA,DORA > Chapitre 9 > Article 60,False
Quelles obligations les référentiels centraux doivent‑ils respecter pour détecter et réduire les risques opérationnels ?,DORA,DORA > Chapitre 9 > Article 60,False
"En cas de non‑conformité à l’article 79, quels sont les critères de violation liés aux systèmes de contrôle et à la continuité des TIC ?",DORA,DORA > Chapitre 9 > Article 60,False
Quelles sanctions ou mesures correctives peuvent être appliquées si une contrepartie centrale de catégorie 2 ne maintient pas une structure organisationnelle adéquate ?,DORA,DORA > Chapitre 9 > Article 60,False
Quels éléments doivent être inclus dans le plan de réponse et de rétablissement des TIC pour être conforme au règlement 2022/2554 ?,DORA,DORA > Chapitre 9 > Article 60,False
L’annexe III impose‑t‑elle des exigences spécifiques pour la reprise de toutes les transactions en cours lors d’un dysfonctionnement ?,DORA,DORA > Chapitre 9 > Article 60,False
Comment les exigences de continuité des activités diffèrent‑elles entre les articles 34 et 79 pour les contreparties centrales et les référentiels centraux ?,DORA,DORA > Chapitre 9 > Article 60,False
Comment devons‑nous réaliser et documenter les essais contradictoires de notre modèle d’IA à usage général à risque systémique pour identifier les risques ?,AI Act,AI Act > Chapitre 5 > Article 55,False
Quelles informations devons‑nous communiquer immédiatement au Bureau de l’IA en cas d’incident grave lié à notre modèle d’IA ?,AI Act,AI Act > Chapitre 5 > Article 55,False
Est‑il possible de se conformer aux obligations du paragraphe 1 en s’appuyant uniquement sur un code de bonnes pratiques avant qu’une norme harmonisée ne soit publiée ?,AI Act,AI Act > Chapitre 5 > Article 55,False
Quels sont les exigences de cybersécurité que nous devons garantir pour l’infrastructure physique de notre modèle d’IA à risque systémique ?,AI Act,AI Act > Chapitre 5 > Article 55,False
"Si nous ne respectons pas une norme européenne harmonisée, comment pouvons‑nous démontrer que nous disposons d’autres moyens appropriés de mise en conformité et quels sont les recours auprès de la Commission ?",AI Act,AI Act > Chapitre 5 > Article 55,False
Quels sont les nouveaux devoirs de conformité en matière de sécurité des réseaux pour un APA selon la modification du règlement ?,DORA,DORA > Chapitre 9 > Article 62,False
L’ARM doit-elle désormais se référer au règlement (UE) 2022/2554 pour ses exigences de cybersécurité ?,DORA,DORA > Chapitre 9 > Article 62,False
Quels paragraphes du texte modifié imposent des exigences organisationnelles concrètes au CTP ?,DORA,DORA > Chapitre 9 > Article 62,False
"En pratique, comment le point c) du paragraphe 8 de l’article 27 octies affecte‑t‑il nos procédures internes ?",DORA,DORA > Chapitre 9 > Article 62,False
Le règlement modifié impose‑t‑il des obligations supplémentaires de sécurité pour les fournisseurs de services critiques ?,DORA,DORA > Chapitre 9 > Article 62,False
Quelles sont les conséquences pour notre entreprise si nous ne respectons pas les exigences du règlement (UE) 2022/2554 mentionnées dans l’article 27 nonies ?,DORA,DORA > Chapitre 9 > Article 62,False
Dois‑je mettre à jour notre cadre de gouvernance IT pour intégrer les exigences des paragraphes 2 et 4 mentionnés pour l’ARM ?,DORA,DORA > Chapitre 9 > Article 62,False
Quels contrôles spécifiques devons‑nous instaurer pour se conformer au paragraphe 5 du texte modifié applicable au CTP ?,DORA,DORA > Chapitre 9 > Article 62,False
La modification du paragraphe 4 de l’article 27 octies implique‑t‑elle une nouvelle évaluation des risques de cybersécurité ?,DORA,DORA > Chapitre 9 > Article 62,False
Comment prouver à l’autorité de surveillance que nous respectons les exigences organisationnelles concrètes prévues aux paragraphes 3 et 5 ?,DORA,DORA > Chapitre 9 > Article 62,False
Quels éléments d’identification seront publiés dans le registre des entités fournissant des services sur crypto‑actifs en infraction ?,MiCA,MiCA > Titre 7 > Article 110,False
Le registre de l’AEMF sera‑t‑il accessible au public et sous quel format ?,MiCA,MiCA > Titre 7 > Article 110,False
À quelle fréquence le registre est‑il actualisé et comment sont‑elles prises en compte les nouvelles infractions ?,MiCA,MiCA > Titre 7 > Article 110,False
L’AEMF peut‑elle enquêter directement sur des entités défaillantes situées dans des pays tiers ?,MiCA,MiCA > Titre 7 > Article 110,False
Quels sont les critères qui déclenchent l’inclusion d’une entité dans le registre lorsqu’elle opère sans agrément ou en violation des articles 59 et 61 ?,MiCA,MiCA > Titre 7 > Article 110,False
Quels sont les outils et processus que le DCT doit mettre en place pour identifier et réduire les risques opérationnels internes et externes ?,DORA,DORA > Chapitre 9 > Article 61,False
Le DCT doit‑il élaborer une politique de continuité de l’activité distincte pour chaque système de règlement de titres qu’il exploite ?,DORA,DORA > Chapitre 9 > Article 61,False
"En cas de dysfonctionnement, comment le plan de rétablissement doit‑il garantir le recouvrement des transactions et positions en cours des participants ?",DORA,DORA > Chapitre 9 > Article 61,False
Quelles obligations le DCT a‑t‑il de signaler aux autorités compétentes les incidents opérationnels non liés aux TIC ?,DORA,DORA > Chapitre 9 > Article 61,False
"Quels types de participants clés et fournisseurs le DCT doit‑il identifier, suivre et gérer comme risques pour ses activités ?",DORA,DORA > Chapitre 9 > Article 61,False
Le DCT est‑il tenu de fournir aux autorités des informations sur les risques opérationnels identifiés sur demande ?,DORA,DORA > Chapitre 9 > Article 61,False
"Comment l’AEMF, en coopération avec le SEBC, contribue‑t‑elle à la définition de normes techniques pour les risques opérationnels non TIC ?",DORA,DORA > Chapitre 9 > Article 61,False
Le plan de continuité des TIC doit‑il être conforme à quel règlement européen ?,DORA,DORA > Chapitre 9 > Article 61,False
Quels sont les critères à respecter pour que les systèmes de TIC critiques puissent reprendre leurs opérations immédiatement après un incident ?,DORA,DORA > Chapitre 9 > Article 61,False
"Le paragraphe 2 étant supprimé, quelles conséquences cela implique‑t‑il pour les exigences précédemment prévues dans ce paragraphe ?",DORA,DORA > Chapitre 9 > Article 61,False
Quand le règlement entrera-t-il en vigueur exactement ?,DORA,DORA > Chapitre 9 > Article 64,False
À partir de quelle date le texte sera-t-il applicable aux entreprises ?,DORA,DORA > Chapitre 9 > Article 64,False
Le délai d’entrée en vigueur commence-t-il à compter de la publication officielle ?,DORA,DORA > Chapitre 9 > Article 64,False
Combien de jours après la publication au Journal officiel le règlement devient-il effectif ?,DORA,DORA > Chapitre 9 > Article 64,False
Est‑ce que le 17 janvier 2025 correspond à la date d’application ou à la date de publication ?,DORA,DORA > Chapitre 9 > Article 64,False
"Si le règlement est publié le 1er janvier 2025, à quelle date s’appliquera‑t‑il réellement ?",DORA,DORA > Chapitre 9 > Article 64,False
Quels sont les délais prévus entre la publication et l’entrée en vigueur du texte ?,DORA,DORA > Chapitre 9 > Article 64,False
Le règlement sera‑il opérationnel dès le 17 janvier 2025 ou y a‑t‑il des dispositions transitoires ?,DORA,DORA > Chapitre 9 > Article 64,False
Comment calculer la date d’application si la publication intervient à une date différente de celle prévue ?,DORA,DORA > Chapitre 9 > Article 64,False
Le texte s’applique‑t‑il immédiatement le 17 janvier 2025 pour tous les États membres ?,DORA,DORA > Chapitre 9 > Article 64,False
Quelles obligations comptables et administratives un administrateur doit‑il respecter pour les indices de référence d’importance critique ?,DORA,DORA > Chapitre 9 > Article 63,False
Quels types de mécanismes de contrôle interne sont exigés pour la gestion des systèmes TIC de ces indices ?,DORA,DORA > Chapitre 9 > Article 63,False
Comment démontrer que les procédures d’évaluation des risques sont « efficaces » selon le règlement ?,DORA,DORA > Chapitre 9 > Article 63,False
Quels dispositifs de sauvegarde doivent être mis en place pour être conforme au règlement 2022/2554 ?,DORA,DORA > Chapitre 9 > Article 63,False
Un responsable juridique peut‑il vérifier la conformité en se basant uniquement sur des audits internes ?,DORA,DORA > Chapitre 9 > Article 63,False
Quels sont les critères permettant de qualifier un indice de référence comme « d’importance critique » ?,DORA,DORA > Chapitre 9 > Article 63,False
Quels documents ou preuves sont attendus lors d’une inspection sur les procédures comptables d’un administrateur ?,DORA,DORA > Chapitre 9 > Article 63,False
Est‑il obligatoire d’utiliser un logiciel spécifique pour le contrôle interne des systèmes TIC ?,DORA,DORA > Chapitre 9 > Article 63,False
Comment intégrer les exigences de DORA dans le cadre de la gouvernance de données d’une entreprise financière ?,DORA,DORA > Chapitre 9 > Article 63,False
"En cas de manquement aux exigences de sauvegarde, quelles sanctions ou mesures correctives sont prévues ?",DORA,DORA > Chapitre 9 > Article 63,False
Quelles sont les sanctions administratives que les autorités peuvent imposer à une personne physique en cas de violation des dispositions visées aux points a) à d) du premier alinéa ?,MiCA,MiCA > Titre 7 > Article 111,False
Comment le montant des amendes administratives pour une société est‑il calculé lorsqu’elle commet une infraction relevant du point b) du paragraphe 3 ?,MiCA,MiCA > Titre 7 > Article 111,False
Une entreprise qui a déjà été sanctionnée pénalement peut‑elle être soumise à des sanctions administratives supplémentaires selon cet article ?,MiCA,MiCA > Titre 7 > Article 111,False
"Quels types de mesures (déclaration publique, interdiction de direction, etc.) sont prévues pour les dirigeants de prestataires de services sur crypto‑actifs en cas de refus de coopérer avec une enquête ?",MiCA,MiCA > Titre 7 > Article 111,False
Dans quels cas les États membres peuvent‑ils augmenter les plafonds de sanctions au‑delà de ceux fixés par le texte ?,MiCA,MiCA > Titre 7 > Article 111,False
Comment notre entreprise peut‑elle participer à l’élaboration des codes de bonne pratique proposés par le Bureau de l’IA ?,AI Act,AI Act > Chapitre 5 > Article 56,False
Quels sont les indicateurs de performance clés que nous devons suivre pour rendre compte de la mise en œuvre du code de bonne pratique auquel nous adhérons ?,AI Act,AI Act > Chapitre 5 > Article 56,False
"Le code de bonne pratique impose‑t‑il des exigences spécifiques concernant la mise à jour des informations de l’article 53‑1 a et b, et comment les assurer ?",AI Act,AI Act > Chapitre 5 > Article 56,False
Dans quelles circonstances la Commission peut‑elle imposer des règles communes si un code de bonne pratique n’est pas finalisé d’ici le 2 août 2025 ?,AI Act,AI Act > Chapitre 5 > Article 56,False
"Quels types de risques systémiques doivent être identifiés et documentés selon les exigences du code de bonne pratique, et quelles mesures d’évaluation sont attendues ?",AI Act,AI Act > Chapitre 5 > Article 56,False
Mon entreprise fournit des services de crypto‑actifs uniquement à ses filiales ; devons‑nous tout de même nous conformer à ce règlement ?,MiCA,MiCA > Titre 1 > Article 2,False
Est‑ce que les crypto‑actifs uniques et non fongibles (NFT) sont exclus de l’application de la réglementation ?,MiCA,MiCA > Titre 1 > Article 2,False
Un fonds d’investissement qui détient des jetons considérés comme des instruments financiers est‑il soumis à ce règlement ?,MiCA,MiCA > Titre 1 > Article 2,False
"Quels types d’institutions publiques (banques centrales, BCE, etc.) sont exemptées de l’obligation de se conformer à ce texte ?",MiCA,MiCA > Titre 1 > Article 2,False
Jusqu’à quelle date l’AEMF doit‑elle publier les orientations permettant de qualifier les crypto‑actifs d’instruments financiers ?,MiCA,MiCA > Titre 1 > Article 2,False
Quels critères les autorités prennent‑elles en compte pour déterminer le niveau de sanction administrative en cas d’infraction liée aux crypto‑actifs ?,MiCA,MiCA > Titre 7 > Article 112,False
Comment la gravité et la durée d’une violation influencent‑elles le montant ou la nature de la sanction imposée ?,MiCA,MiCA > Titre 7 > Article 112,False
L‑autorité doit‑elle tenir compte de la situation financière du contrevenant (chiffre d’affaires ou actifs nets) lors du calcul de la pénalité ?,MiCA,MiCA > Titre 7 > Article 112,False
Dans quelle mesure la coopération du responsable de l’infraction avec les autorités peut‑elle réduire la sanction administrative ?,MiCA,MiCA > Titre 7 > Article 112,False
"Les sanctions prises dans le cadre de ce règlement sont‑elles coordonnées entre plusieurs autorités afin d’éviter les doubles sanctions, notamment dans les cas transfrontaliers ?",MiCA,MiCA > Titre 7 > Article 112,False
Quelles sont les finalités principales du règlement en matière de protection des données personnelles ?,GDPR,GDPR > Chapitre 1 > Article 1,False
Le règlement s’applique-t-il uniquement aux données traitées au sein de l’Union européenne ou aussi à celles provenant de l’extérieur ?,GDPR,GDPR > Chapitre 1 > Article 1,False
Est‑ce que la libre circulation des données personnelles peut être restreinte pour des raisons de protection des individus ?,GDPR,GDPR > Chapitre 1 > Article 1,False
Quels droits fondamentaux des personnes physiques le règlement vise-t-il à protéger spécifiquement ?,GDPR,GDPR > Chapitre 1 > Article 1,False
Dans quel cas la circulation transfrontalière des données personnelles pourrait‑elle être limitée selon le règlement ?,GDPR,GDPR > Chapitre 1 > Article 1,False
Quelle est la différence juridique entre un « jeton de monnaie électronique » et un « jeton se référant à un ou des actifs » selon la réglementation ?,MiCA,MiCA > Titre 1 > Article 3,False
Qui est considéré comme « émetteur » d’un crypto‑actif et quelles obligations en découlent pour cette personne morale ou physique ?,MiCA,MiCA > Titre 1 > Article 3,False
Un prestataire de services sur crypto‑actifs doit‑il être autorisé selon l’article 59 pour pouvoir offrir la conservation et l’administration de crypto‑actifs pour le compte de clients ?,MiCA,MiCA > Titre 1 > Article 3,False
Comment la notion de « nœud de réseau DLT » est‑elle définie et quels rôles peuvent jouer ces nœuds dans le consensus du registre distribué ?,MiCA,MiCA > Titre 1 > Article 3,False
Quels acteurs sont qualifiés de « détenteur de détail » et comment cette qualification influence‑t‑elle les exigences de protection des investisseurs ?,MiCA,MiCA > Titre 1 > Article 3,False
Quels sont les délais et les exigences pour mettre en place un bac à sable réglementaire de l’IA au niveau national ?,AI Act,AI Act > Chapitre 6 > Article 57,False
Puis‑je participer à un bac à sable existant dans un autre État membre et être considéré comme conforme aux exigences nationales ?,AI Act,AI Act > Chapitre 6 > Article 57,False
Quelles preuves écrites et quels rapports de sortie dois‑je obtenir de l’autorité compétente pour accélérer l’évaluation de conformité de mon système d’IA ?,AI Act,AI Act > Chapitre 6 > Article 57,False
"Dans quelles circonstances l’autorité nationale peut‑elle suspendre ou arrêter un test en bac à sable pour des risques de santé, de sécurité ou de droits fondamentaux ?",AI Act,AI Act > Chapitre 6 > Article 57,False
Comment la Commission et le Comité IA facilitent‑ils la coopération transfrontalière et la diffusion d’informations sur les bacs à sable réglementaires de l’IA ?,AI Act,AI Act > Chapitre 6 > Article 57,False
Quels sont les délais impartis aux autorités pour statuer sur une demande d’agrément de crypto‑actif et que se passe‑t‑il si ce délai n’est pas respecté ?,MiCA,MiCA > Titre 7 > Article 113,False
"Qui, parmi les acteurs du marché, peut saisir les juridictions ou les organes administratifs pour faire appliquer le règlement sur les crypto‑actifs ?",MiCA,MiCA > Titre 7 > Article 113,False
Dans quelles conditions les décisions des autorités compétentes doivent‑elles être motivées afin de permettre un recours juridictionnel ?,MiCA,MiCA > Titre 7 > Article 113,False
"Les organisations de consommateurs peuvent‑elles intervenir en justice pour protéger les détenteurs de crypto‑actifs, même si elles ne sont pas directement parties à la décision ?",MiCA,MiCA > Titre 7 > Article 113,False
"Quels types d’organismes publics ou représentants peuvent, selon le droit national, engager une action en justice au nom des intérêts des consommateurs de crypto‑actifs ?",MiCA,MiCA > Titre 7 > Article 113,False
Quels sont les critères d’éligibilité et les délais de réponse pour qu’une PME puisse accéder à un bac à sable réglementaire de l’IA ?,AI Act,AI Act > Chapitre 6 > Article 58,False
Est‑ce que l’accès aux bacs à sable est gratuit pour les start‑ups et quelles sont les éventuelles charges que les autorités peuvent facturer ?,AI Act,AI Act > Chapitre 6 > Article 58,False
"Comment les procédures de demande, de sélection et de sortie d’un bac à sable sont‑elles harmonisées au niveau de l’Union pour éviter la fragmentation ?",AI Act,AI Act > Chapitre 6 > Article 58,False
Quelles garanties doivent être prévues lors d’essais en conditions réelles dans un bac à sable afin de protéger les droits fondamentaux et la sécurité ?,AI Act,AI Act > Chapitre 6 > Article 58,False
"Un fournisseur peut‑il soumettre une demande de participation en partenariat avec un déployeur ou un tiers, et quelles sont les exigences spécifiques pour ces collaborations ?",AI Act,AI Act > Chapitre 6 > Article 58,False
Dans quel délai devons‑nous publier les résultats d’une offre publique de crypto‑actifs à durée déterminée sur notre site web ?,MiCA,MiCA > Titre 2 > Article 10,False
"Si notre offre de crypto‑actifs n’a pas de date limite, à quelle fréquence devons‑nous communiquer le nombre d’unités en circulation ?",MiCA,MiCA > Titre 2 > Article 10,False
Quels sont les moyens acceptés pour garantir la conservation des fonds collectés lors d’une offre publique de crypto‑actifs ?,MiCA,MiCA > Titre 2 > Article 10,False
L’obligation de publier les résultats de l’offre s’applique‑t‑elle également aux jetons de monnaie électronique ?,MiCA,MiCA > Titre 2 > Article 10,False
Jusqu’à quand un offreur doit‑il maintenir les dispositifs de protection des fonds lorsqu’il n’y a pas de limite temporelle à l’offre ?,MiCA,MiCA > Titre 2 > Article 10,False
Mon entreprise est basée hors de l'Union mais propose des services en ligne aux consommateurs européens ; devons‑nous nous conformer au règlement sur la protection des données ?,GDPR,GDPR > Chapitre 1 > Article 3,False
Est‑ce que le suivi du comportement des utilisateurs européens réalisé depuis un serveur situé aux États‑Unis relève du champ d’application du règlement ?,GDPR,GDPR > Chapitre 1 > Article 3,False
Une filiale française d’un groupe multinational doit‑elle appliquer les exigences du règlement même si le traitement des données est effectué dans un pays tiers ?,GDPR,GDPR > Chapitre 1 > Article 3,False
"Dans quel cas un responsable du traitement installé hors de l’UE, mais soumis au droit d’un État membre par un accord international, est‑il tenu de respecter le règlement ?",GDPR,GDPR > Chapitre 1 > Article 3,False
"Si nous offrons gratuitement un produit numérique aux résidents de l’UE, le règlement s’applique‑t‑il même si aucun paiement n’est exigé ?",GDPR,GDPR > Chapitre 1 > Article 3,False
Est‑ce que le traitement automatisé de données clients via notre CRM est soumis au règlement même s’il est intégré à un fichier interne ?,GDPR,GDPR > Chapitre 1 > Article 2,False
Le RGPD s’applique‑t‑il aux données personnelles traitées par un salarié dans le cadre de son usage personnel d’un ordinateur de travail ?,GDPR,GDPR > Chapitre 1 > Article 2,False
Les autorités judiciaires peuvent‑elles traiter des données personnelles sans être contraintes par le RGPD lorsqu’elles mènent des enquêtes pénales ?,GDPR,GDPR > Chapitre 1 > Article 2,False
"Notre association locale, qui ne réalise aucune activité économique, doit‑elle se conformer aux exigences du règlement pour les membres inscrits ?",GDPR,GDPR > Chapitre 1 > Article 2,False
Les institutions européennes sont‑elles exclues du champ d’application du règlement ou doivent‑elles appliquer les mêmes règles que les entreprises privées ?,GDPR,GDPR > Chapitre 1 > Article 2,False
"Une fois le livre blanc publié, puis-je proposer mes crypto‑actifs dans tous les États membres de l’UE sans obtenir d’autorisation supplémentaire ?",MiCA,MiCA > Titre 2 > Article 11,False
Dois‑je fournir d’autres renseignements aux autorités ou aux investisseurs lors de l’admission à la négociation de mes tokens qui ne sont pas adossés à un actif ou à de la monnaie électronique ?,MiCA,MiCA > Titre 2 > Article 11,False
Est‑ce que la modification du livre blanc selon l’article 12 implique des obligations supplémentaires avant de pouvoir négocier mes crypto‑actifs sur une plateforme européenne ?,MiCA,MiCA > Titre 2 > Article 11,False
"Quels types de crypto‑actifs peuvent être offerts dans l’Union après la publication du livre blanc, et quelles catégories restent exclues ?",MiCA,MiCA > Titre 2 > Article 11,False
"En tant qu’émetteur, suis‑je exempté de toute information additionnelle pour l’offre publique ou l’inscription en bourse de crypto‑actifs non adossés à des actifs ou à des jetons de monnaie électronique ?",MiCA,MiCA > Titre 2 > Article 11,False
Dans quels cas les autorités peuvent‑elles publier une sanction administrative de façon anonyme plutôt qu’en indiquant le nom de l’entité sanctionnée ?,MiCA,MiCA > Titre 7 > Article 114,False
Combien de temps les décisions de sanction doivent‑elles rester accessibles sur le site internet officiel de l’autorité compétente ?,MiCA,MiCA > Titre 7 > Article 114,False
"Si une décision de sanction fait l’objet d’un recours, quelles informations doivent être publiées immédiatement et quelles sont les obligations de suivi ?",MiCA,MiCA > Titre 7 > Article 114,False
Quelles sont les alternatives prévues lorsque la publication de l’identité d’une personne physique ou morale serait disproportionnée ou compromettrait une enquête en cours ?,MiCA,MiCA > Titre 7 > Article 114,False
Les données personnelles contenues dans les publications de sanctions doivent‑elles être conservées indéfiniment sur le site de l’autorité ?,MiCA,MiCA > Titre 7 > Article 114,False
Dans quelles circonstances devons‑nous mettre à jour le livre blanc d’un crypto‑actif déjà publié ?,MiCA,MiCA > Titre 2 > Article 12,False
Quel est le délai minimum pour notifier l’autorité compétente avant de publier une version modifiée du livre blanc ?,MiCA,MiCA > Titre 2 > Article 12,False
Comment devons‑nous informer le public sur notre site internet lorsqu’une modification du livre blanc a été notifiée à l’autorité ?,MiCA,MiCA > Titre 2 > Article 12,False
Combien de temps devons‑nous conserver les anciennes versions du livre blanc et des communications commerciales sur notre site ?,MiCA,MiCA > Titre 2 > Article 12,False
La modification d’un livre blanc concernant un jeton utilitaire retarde‑t‑elle le délai de 12 mois prévu pour l’offre au public ?,MiCA,MiCA > Titre 2 > Article 12,False
Dans quelles circonstances puis‑je utiliser des données personnelles déjà collectées pour entraîner un système d’IA dans le bac à sable réglementaire ?,AI Act,AI Act > Chapitre 6 > Article 59,False
"Quels types de projets d’IA sont autorisés à exploiter des données personnelles dans le bac à sable, notamment en matière de santé publique ou de protection de l’environnement ?",AI Act,AI Act > Chapitre 6 > Article 59,False
Quelles mesures techniques et organisationnelles dois‑je mettre en place pour garantir l’isolation et la sécurité des données personnelles pendant les tests en bac à sable ?,AI Act,AI Act > Chapitre 6 > Article 59,False
